sample	count (>0)	mean	median	sum	p25	p75	min	max
SRX6979987	6	1875.880438547112	23.441362075674252	11255.282631282671	0.2307869683962304	831.640840615816	0.13187826765498878	10114.733433468502
SRX6979682	6	1859.728673158905	5.301404157437293	11158.37203895343	1.3473181836580967	77.88084892058434	0.35147430878037306	11045.314469629076
SRX6980024	6	1855.264991331377	79.07158601740306	11131.589947988261	0.3754140582428632	2957.3946339440754	0.0938535145607158	7082.373915780738
SRX6979807	6	1843.9564852066326	15.265846969598762	11063.738911239796	4.0817772645986	293.76550973316114	0.4898132717518319	10645.764919344898
SRX6979691	6	1818.4988288840925	215.5053270279729	10910.992973304556	7.953676818461531	2372.3126401041677	0.24193693744369674	7449.72217776631
SRX6979904	5	1797.4277254130784	66.16095990205979	10784.56635247847	0.21992562848330124	159.31779070044482	0.0	10483.634784170486
SRX6980061	4	1769.9834656981	28.064527563077426	10619.9007941886	0.020850317654589466	458.9363418951687	0.0	9970.538501154064
SRX6980058	6	1761.7289267464191	97.871854209119	10570.373560478514	0.1599794202473794	2470.9710231764675	0.07110196455439084	7144.965316106181
SRX6980098	6	1757.6604696664197	56.209413159280274	10545.962817998517	0.49248901716659116	2193.7759106680082	0.13133040457775766	7545.194403801333
SRX6980002	5	1717.7438737675345	77.0068729513183	10306.463242605207	0.5776771291194784	2933.0677157149385	0.0	6292.260221544705
SRX6980275	6	1680.309764573153	24.940138174957596	10081.858587438917	0.6317435881321858	220.3961109205504	0.10986845010994536	9753.79139541062
SRX6980218	6	1616.994305075258	36.43659692677033	9701.965830451547	3.6370468801676377	314.3069785715779	0.044085416729304695	9229.414248530129
SRX6979613	6	1615.547840495288	268.3361497382579	9693.287042971728	2.4509798894536283	3513.2386756012233	0.7383705106303817	4647.180932155851
SRX6979670	6	1614.617558943058	2.7176415792710964	9687.705353658348	0.6271480567548684	222.24932563665382	0.2389135454304261	9386.67428641601
SRX6980236	6	1602.762830435384	20.167421491042195	9616.576982612305	3.2361676346090964	192.29401886807676	0.18760392084690414	9328.792568033155
SRX6980132	5	1596.633778898525	19.60973888890626	9579.80267339115	0.18798437885429817	397.61664302087013	0.0	9023.250185006309
SRX6980092	6	1583.8235707007334	32.51482120234614	9502.9414242044	0.46027047202512233	2095.1018739649257	0.26301169830006993	6665.242458320372
SRX6980144	6	1583.2408358850607	242.28268679548492	9499.445015310364	0.18107824125223088	915.2901501162764	0.08047921833432484	7955.692649221346
SRX6979772	5	1554.8412185946033	189.1134579694824	9329.04731156762	4.382400198311343	373.53516984430206	0.0	8573.005940884825
SRX6979849	6	1543.104178515677	284.86029260500743	9258.625071094062	1.558018805135714	1708.1331606907322	0.3630335079927877	6598.860074784902
SRX6979572	6	1506.9891955178875	6.109735260046888	9041.935173107326	2.187679399565176	393.7034566280538	0.15767058735604872	8505.776340803082
SRX6979560	6	1497.6091201625313	207.5824395074265	8985.654720975188	7.0713612557428505	1618.1729075228413	0.11688200422715456	6541.768894589613
SRX6979498	6	1486.0805443185127	4.771643155402366	8916.483265911076	1.5905477184674552	165.5123955837234	0.2544876349547928	8687.062662999331
SRX6979996	5	1481.5557905326002	41.371015983339774	8889.3347431956	0.13115811226602286	1854.3977071463448	0.0	6361.468234873
SRX6979685	6	1473.331430472522	11.988765450382285	8839.988582835133	1.6517029800062282	65.69694999125898	0.22270152539409815	8733.982656747541
SRX6979712	6	1442.1713053128788	11.96426261110615	8653.027831877273	2.206337401667864	157.92371731731936	0.454914928178941	8423.113827175635
SRX6979637	5	1433.5608170480753	8.837596844918348	8601.364902288451	2.80519225695442	260.18778801008204	0.0	8238.924132805845
SRX6979993	6	1411.5442823165579	26.01337685961362	8469.265693899348	0.17660838922261643	1662.5809874129332	0.04155491511120386	6217.5295087685445
SRX6979956	6	1408.385212781602	27.955377838780382	8450.311276689612	0.9663933220820872	436.1655193663821	0.112045602560242	7830.082843717392
SRX6979610	6	1384.9872433300488	13.907356172145356	8309.923459980293	2.553896315248511	359.72008891807246	0.20228881704938698	7808.146049289289
SRX6979590	6	1374.7739849260076	9.384205523703413	8248.643909556045	2.000508929471658	775.7973628491089	0.14549155850702966	7198.922314927827
SRX6979861	5	1372.1506109418742	6.362195077848712	8232.903665651245	1.9812098707335901	1746.2830270475886	0.0	5893.401756323017
SRX6979937	5	1358.865016162251	93.75451508996183	8153.190096973507	2.47887292022562	1072.1125379975806	0.0	6595.39552896315
SRX6979870	5	1322.1741141302787	6.427961108222304	7933.044684781672	1.2803662370036295	307.49693626650435	0.0	7512.770999966032
SRX6979962	5	1302.3455351578941	26.002992605279402	7814.073210947365	0.4674451011818621	733.464847019568	0.0	6800.826164645992
SRX6979843	5	1298.845604312887	8.716089741571496	7793.073625877322	2.0900827441523484	330.3220132673116	0.0	7338.236044873275
SRX6980030	4	1292.2426094631533	47.73180603996314	7753.45565677892	0.06998798539584038	1275.531033839191	0.0	5989.011886292853
SRX6980064	6	1287.1122967488375	55.262855998095986	7722.673780493024	0.16052340045922536	2725.1308586760542	0.08561248024492019	4015.182517246634
SRX6979959	5	1284.8302230493948	79.00519799868812	7708.981338296368	0.33130499580104045	1390.3655888785063	0.0	5749.378549132375
SRX6979575	6	1283.4445523244892	14.759036313394498	7700.667313946935	4.3436404340053425	514.1142158850947	1.0275278446034144	6988.683929259005
SRX6979733	6	1280.0030325836904	191.94517341403372	7680.018195502143	3.593295778785656	1856.4308543277893	0.868708869596532	4943.190388605067
SRX6979968	6	1279.1980078695226	25.167061350104987	7675.188047217136	0.39947716428738067	660.4356218581122	0.033289763690615065	6760.485210290106
SRX6979688	6	1277.9663959282582	7.167448167819505	7667.798375569549	5.235353444320333	106.14055851997058	0.2493025449676349	7509.4912595151
SRX6979643	6	1275.3547198373349	2.4023452469250564	7652.128319024009	1.8598801911677856	156.47210795798557	0.19373751991331095	7437.622136975991
SRX6980141	5	1269.3334358749357	43.35307119176286	7616.000615249614	0.058332980613243886	877.0130303278767	0.0	6388.768035915944
SRX6979658	6	1269.0780547501927	178.81791831022397	7614.468328501156	6.320030278636057	1439.7687935235926	0.3594330016285909	5447.566572682924
SRX6980293	6	1234.880063690545	3.702847542658126	7409.28038214327	0.20571375236989586	192.60684757604253	0.05877535781997025	7147.201061624022
SRX6979757	5	1209.3459327027144	374.960257668542	7256.075596216287	10.392975426025597	2436.682639492534	0.0	3493.361099433484
SRX6979873	6	1204.3732463094232	10.444771806803473	7226.2394778565385	2.105023241063469	318.3405757916671	0.19282655643329488	6784.859490180726
SRX6980377	6	1202.0989366079277	3.2665731973041514	7212.593619647567	1.6332865986520757	175.57830935509818	0.2722144331086793	6971.6838463463855
SRX6979879	6	1184.2433015201066	7.239108917437518	7105.459809120639	3.475817639058447	200.2645907376307	1.4112342293921516	6822.742551832412
SRX6979602	5	1181.422089496933	236.92636093652175	7088.532536981598	1.3579564247091185	2589.129099584031	0.0	3318.6479810545825
SRX6979822	6	1176.6693729858916	14.893905576501911	7060.01623791535	5.413655098626121	550.7949278982474	0.10166488448124172	6298.444588266369
SRX6979792	5	1174.0471498011902	16.40321212511443	7044.2828988071415	2.6901267885187665	436.3254425280437	0.0	6437.057856884905
SRX6980347	3	1170.8128924884127	72.57104705506691	7024.877354930476	0.0	820.0528317222561	0.0	5834.712183227379
SRX6980055	6	1169.0042516089736	19.955087987262537	7014.025509653842	0.12527857929223113	1274.6469050088056	0.03579387979778033	5287.686687006897
SRX6979798	6	1162.0816792757848	8.370148991771362	6972.490075654709	3.9251319806132785	436.76841128645447	0.8838045519261688	6372.854681424331
SRX6980374	6	1066.7590444552886	5.110353184119719	6400.554266731731	2.228983835626686	170.43571523633318	0.6523855128663472	6162.868478210759
SRX6979858	6	1056.752282357692	3.8827785341416217	6340.5136941461515	1.1934770084451707	845.0612871130771	0.19095632135122728	5206.806014283915
SRX6979631	6	1048.6024230609598	7.3825918381563005	6291.6145383657595	2.533746676161657	482.6594493214138	1.0803792933887268	5633.7664419580615
SRX6979965	6	1048.440874269506	48.89624476452759	6290.6452456170355	0.28090156461396587	1017.2511143365068	0.03874504339502978	4868.702153019442
SRX6979783	6	1047.9011893252894	300.1117171764133	6287.407135951737	3.1279441988428998	612.324988958186	0.1367407300040612	5066.517528110476
SRX6979622	6	1037.7508217547047	29.34073576288328	6226.504930528228	3.417090942612501	895.175057312066	0.3083089572281956	4988.952776214252
SRX6979661	5	1021.8013151029708	20.81418885413453	6130.807890617824	3.042073755604277	327.19447423999395	0.0	5662.7402414848475
SRX6979727	6	1018.117315428933	8.010487980079539	6108.703892573598	2.2905807132580382	464.7915493016739	0.4712051752987965	5474.77586340495
SRX6979566	6	1010.0147419880954	288.8441280623023	6060.088451928572	4.713936169976774	1369.8375004529073	0.36972048391974704	3841.8579785310712
SRX6979724	5	1008.9719520637574	2.077634678215941	6053.8317123825445	0.8409473697540714	255.45013043588375	0.0	5709.340095737406
SRX6979888	5	1004.5880052505235	398.27450369072096	6027.5280315031405	8.382416551507184	1022.786480276832	0.0	4121.603497477727
SRX6980190	6	1000.3196440259609	6.031735120790618	6001.9178641557655	1.8778043300574567	189.37372152821862	0.07587088202252347	5738.7976453016545
SRX6979882	6	972.7055919988402	3.520401549503097	5836.233551993041	2.5169226031494105	248.07315591825557	1.3160379624310643	5496.103540602732
SRX6980380	6	938.6881483407051	3.756990800648313	5632.1288900442305	1.119103642746306	246.44260932763294	0.319743897927516	5296.717541118266
SRX6979599	6	928.3157296592266	7.247039252901304	5569.894377955359	2.6761942339145337	542.4148366313676	0.47366269626805896	4832.969955101513
SRX6980120	5	924.9598241239219	19.00979781509649	5549.758944743531	0.06887607904020468	454.55457123373486	0.0	4918.247951239703
SRX6979676	6	881.7305500493067	67.52731303654122	5290.38330029584	3.9048402755912957	1723.355748095172	0.11743880528094125	2897.2153262808197
SRX6979536	6	873.1859594826974	2.890038309494397	5239.115756896184	2.317849516675036	241.25031203685438	0.6594718290121442	4909.845351916474
SRX6980126	6	872.103248087305	25.20924404319101	5232.61948852383	0.3658816261711322	884.2078318864666	0.2927053009369057	4019.2828398151214
SRX6980392	6	854.0315205039243	5.393588354332136	5124.189123023546	1.9963281571229339	194.76457687299353	0.14009320400862693	4854.509705306939
SRX6979507	6	833.8050361031637	241.20453351898334	5002.830216618982	3.0241813541074434	1094.9100733603827	0.4171284626355095	3216.8947038450488
SRX6979721	6	826.833879604325	6.8356734828752606	4961.00327762595	1.6161863661061662	159.181109632227	0.4239177353721091	4737.068733915634
SRX6979596	6	818.7249016240431	3.2703379043936334	4912.349409744259	0.8972465532567149	237.3846044499471	0.10062578167365026	4590.179198752455
SRX6980383	4	815.6251345969073	10.33087479072269	4893.750807581444	0.8480568858055941	262.43505811656746	0.0	4528.932154523983
SRX6979563	6	814.8220096886403	3.7163885347486683	4888.932058131842	1.3305588581198935	406.1989727810328	1.0552708185088813	4339.5488937481305
SRX6979831	5	798.2429894508655	6.451061377693417	4789.457936705193	1.7611793331739698	393.1585504662969	0.0	4254.296881802307
SRX6980389	6	794.472282721822	4.264587172731011	4766.833696330932	0.9747627823385169	192.88118555523403	0.2436906955846292	4502.429291621609
SRX6979952	6	765.6083318951847	0.8702674524853836	4593.649991371109	0.2364857207840716	236.30599163627565	0.1891885766272573	4276.910476381755
SRX6979940	6	761.7315395262184	8.953932556390896	4570.38923715731	1.3484838187335688	154.02382177574822	0.3236361164960565	4350.963950172984
SRX6979667	6	750.1455894217974	7.744840916891334	4500.873536530784	2.7514566415271844	315.0927383556317	0.6114348092282633	4066.143387169489
SRX6979578	6	746.9716333892187	7.279021144532812	4481.829800335312	1.3079491119082398	382.09174273528106	0.2274694107666504	3960.697380268916
SRX6979664	6	719.068159384616	35.18200982782081	4314.408956307696	4.273962675379713	290.5512796817587	0.7297009445770242	3873.6695857831733
